category,count
"Agriculture,Rural & Environment",667
"Agriculture,Rural & Environment, Business & Entrepreneurship",36
"Agriculture,Rural & Environment, Banking,Financial Services and Insurance",29
"Agriculture,Rural & Environment, Social welfare & Empowerment",16
"Agriculture,Rural & Environment, Skills & Employment",15
"Business & Entrepreneurship, Agriculture,Rural & Environment",10
"Agriculture,Rural & Environment, Transport & Infrastructure",9
"Banking,Financial Services and Insurance, Agriculture,Rural & Environment",7
"Utility & Sanitation, Agriculture,Rural & Environment",5
"Education & Learning, Agriculture,Rural & Environment",5
"Transport & Infrastructure, Agriculture,Rural & Environment",4
"Agriculture,Rural & Environment, Women and Child",4
"Agriculture,Rural & Environment, Health & Wellness",4
"Agriculture,Rural & Environment, Business & Entrepreneurship, Social welfare & Empowerment",4
"Social welfare & Empowerment, Agriculture,Rural & Environment",3
"Agriculture,Rural & Environment, Education & Learning",3
"Agriculture,Rural & Environment, Utility & Sanitation",3
"Agriculture,Rural & Environment, Banking,Financial Services and Insurance, Social welfare & Empowerment",2
"Agriculture,Rural & Environment, Housing & Shelter",2
"Skills & Employment, Agriculture,Rural & Environment",2
"Agriculture,Rural & Environment, Business & Entrepreneurship, Women and Child",2
"Banking,Financial Services and Insurance, Transport & Infrastructure, Agriculture,Rural & Environment",1
"Business & Entrepreneurship, Banking,Financial Services and Insurance, Science, IT & Communications, Agriculture,Rural & Environment, Health & Wellness, Education & Learning",1
"Social welfare & Empowerment, Women and Child, Agriculture,Rural & Environment",1
"Agriculture,Rural & Environment, Banking,Financial Services and Insurance, Business & Entrepreneurship, Housing & Shelter, Skills & Employment, Social welfare & Empowerment",1
"Agriculture,Rural & Environment, Business & Entrepreneurship, Skills & Employment",1
"Agriculture,Rural & Environment, Education & Learning, Social welfare & Empowerment",1
"Agriculture,Rural & Environment, Women and Child, Skills & Employment",1
"Agriculture,Rural & Environment, Women and Child, Business & Entrepreneurship",1
"Social welfare & Empowerment, Education & Learning, Agriculture,Rural & Environment",1
"Agriculture,Rural & Environment, Banking,Financial Services and Insurance, Business & Entrepreneurship",1
"Agriculture,Rural & Environment, Social welfare & Empowerment, Business & Entrepreneurship",1
"Social welfare & Empowerment, Transport & Infrastructure, Agriculture,Rural & Environment",1
"Transport & Infrastructure, Agriculture,Rural & Environment, Utility & Sanitation",1
"Business & Entrepreneurship, Agriculture,Rural & Environment, Skills & Employment",1
"Skills & Employment, Agriculture,Rural & Environment, Women and Child",1
"Housing & Shelter, Agriculture,Rural & Environment",1
