slug,name,description,ministry,department,state,category,beneficiary_type,benefits,eligibility_text,application_process,documents_required,apply_url,official_url,eligibility_age_min,eligibility_age_max,eligibility_gender,eligibility_caste,eligibility_income_max,eligibility_residence,eligibility_state,eligibility_disability,eligibility_bpl,scraped_at
ira-wrflsncs," ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially.",,"Fisheries and Fishermen Welfare Department, Puducherry",Puducherry,"Agriculture,Rural & Environment, Social welfare & Empowerment","Individual, Family","₹ 1,00,000, in two installments of ₹ 50,000 each, as immediate relief assistance for the family (legal heir) of the missing fisherman.
<br>

> **Disbursal**

- Initially, 50% will be extended within 3 months from the date of receipt of the application from the family (legal heir).
- The family (legal heir) should approach this department for the release of the balance 50% of the relief which will be deposited in the bank in a joint account in the name of kin (legal heir) and the competent authority concerned.
- If no further information is received about the missing person, the balance amount will be released in favour of the next of kin (legal heir), after the prescribed period of 9 months from the date of release of 1st part of lump sum.

****In case of the return of the missing fishermen, the amount extended as compensation either ₹ 50,000 or ₹ 1,00,000 as the case may be, will be recovered by invoking an insurance bond.***","- The applicant should be the family (legal heir) of the missing fisherman.
- The missing fisherman should have been a resident of the Union territory of Puducherry.
- The missing fisherman must have lost his/her life while fishing. 
- The missing fisherman must have been in the age group of 18-60 years.
- The missing fisherman must not have been a beneficiary of the old age pension scheme. 
- The missing fisherman should have enrolled as a member of the Fishermen/Fisherwomen Co-operative Society.","[Offline]
Step 1: The interested applicant should visit the office of the concerned authority i.e. the Department of Fisheries and Fishermen Welfare/Sub-Offices of outlying regions in all four regions.
Step 1: The interested applicant should request the hard copy of the prescribed format of the application form from the concerned authority.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
*The affected family (legal heir) should apply immediately within 30 days from the date of the event for consideration.","Photograph of the Family (Legal Heir) of the Missing Fisherman.
Residential Certificate of the Missing Fishermen.
Proof of Age of the Missing Fishermen.
Declaration That the Missing Fisherman Was Not a Beneficiary of the Old Age Pension Scheme. 
Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society. 
Electoral Identity Card (Attested Copy)
Ration Card (Attested Copy)
Panchayathar’s Letter of Village Concerned
Name, Relationship, and Address of the Legal Heir (Affidavit in ₹ 5 Stamp Paper, Affixing as the Legal Heir Duly Signed in Before a Notary Public).
‘No Claim’ Certificate in Respect of Financial Assistance Extended by the Revenue Department Should Be Obtained From the Department of Revenue and Disaster Management.
FIR and Non-traceable Certificate From Respective Station House Officer of Police Department.
Statement of Next Kin of Missing Person, Statement of Panchayathars, Statement of Persons Who Have Lastly Seen the Missing Person. 
Advertisement/newspaper Report of the Missing Person in Gazette in Tamil/local Newspaper, Municipality/ Commune Panchayat Office, Ration Shop, and Police Station in the Vernacular Language.",https://fisheries.py.gov.in/sites/default/files/immediate20relief20notification.pdf,https://www.myscheme.gov.in/schemes/ira-wrflsncs,18.0,60.0,all,[],,both,"[""Puducherry""]",False,False,2026-07-05 10:07:38.558+00
fpgsdau, Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University,"The scheme ""Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University"" provides a monthly fellowship to meritorious Post-Graduate students across various faculties of Sardarkrushinagar Dantiwada Agricultural University.",,"Agriculture, Farmers Welfare and Cooperation Department",Gujarat,Education & Learning,Individual,"- **Master’s degree students:** ₹5,000/- per month for 2 years.  - **Ph.D. degree students:** ₹5,000/- per month for 3 years.
&gt; **Note:** The University shall annually award four fellowships in each of the concerned faculties for both Master&amp;#39;s well as Doctorate degree programmes.","- The applicant must be a student.
  - The applicant must be enrolled in a Master’s or Ph.D. program at Sardarkrushinagar Dantiwada Agricultural University (SDAU).
  - The applicant must have secured a first-class or its equivalent OGPA in the qualifying undergraduate or postgraduate examination from a State Agricultural University in Gujarat.
  - The applicant must be 28 years of age or below at the time of application.
  - The applicant must maintain a minimum OGPA of 7.5 and must not receive an “F” (Fail) or “I” (Incomplete) grade during the course of study.

<br>

<br>","[Offline]
Step 1: Obtain the prescribed application form from the University.
Step 2:  Submit the completed application to the Registrar by 31st December of the same year.
Step 3: Selection will be made by a university committee based on merit and eligibility.
Note: Fellowship notification is released by 30th November every year.","Graduate Mark Sheet
Post Graduate Mark sheet
Passport Size Photos
Bank Account Details (should be linked with Aadhaar Number).",https://mariyojana.gujarat.gov.in/Schemeatoz.aspx,https://www.myscheme.gov.in/schemes/fpgsdau,,28.0,all,[],,both,"[""Gujarat""]",False,False,2026-07-05 09:51:23.328+00
kuksy, Krishak Utpadak Kshati Sahayata Yojana,"The scheme aims to provide financial assistance and compensation to farmers in the event of loss or damage to crops, livestock, or agricultural land caused by fire, flood, or heavy rains in the notified areas of the state.",,Agriculture Department,Uttarakhand,"Agriculture,Rural & Environment",Individual,"Damage caused by fire accidents to standing crops, harvested crops in the field, crops stored in barns for threshing, or residual produce in the notified market areas of Uttarakhand State, as well as damage to property and livestock due to fire in the farmer’s house, and damage to agricultural land due to floods or rain-induced soil erosion, all such losses make farmers eligible to receive compensation under this scheme.
<br>","1. The applicant must be a resident of Uttarakhand.
1. The applicant must be a minimum of 18 years of age to submit and receive a claim.

<br>","[Offline]
For reporting fire or flood accidents, the affected farmer/producer must submit an application in the prescribed format (available free of cost at the Mandi Samiti office) to the Secretary, Chairman, Administrator, or Tehsildar of the concerned Mandi Samiti area within seven days of the incident.
The received claim will be investigated by the Secretary of the Market Committee, and the inquiry must be completed within one week. The final report shall be submitted to the Chairman/Administrator of the Mandi Committee in the prescribed format attached to the claim form. In areas where the Mandi Committee does not have an office, the concerned Tehsildar will conduct the inquiry and forward it to the respective Mandi Committee.
After thorough scrutiny of the claim form by the Mandi Samiti office, the payment process will be initiated with the approval of the Chairman/Administrator of the Mandi Samiti.
All the above proceedings should be completed within two months, and in special circumstances, the Chairman/Administrator of the Mandi Committee may extend the time period as required.
For the payment of assistance claims, the Mandi Board will prepare a bank draft of the sanctioned amount in the name of the claimant and send it to the Secretary of the concerned Mandi Committee for disbursement.",Documents are required in accordance with the Mandi Committee/ Mandi Board for claiming the compensation under the scheme.,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/kuksy,18.0,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 09:49:18.494+00
wbtisscis, West Bengal Textile Incentive Scheme: State Capital Investment Subsidy,"“State Capital Investment Subsidy” incentives under “West Bengal Textile Incentive Scheme” scheme implemented by the Dept. of MSME&T, Government of West Bengal, aims to provide a State Capital Investment Subsidy of the fixed capital investment.",,"Micro, Small & Medium Enterprises and Textiles Department",West Bengal,Business & Entrepreneurship,"Business Entity, Industries, Registered Societies, Self Help Groups (SHGS), Trust","An eligible textile sector enterprise in the state will be entitled to State Capital Investment Subsidy for its approved
project as follows:
&lt;br&gt;

**Sl. No.****Type of Manufacturing Activities****Quantum of Subsidy****Maximum Admissible Amount**1.Spinning (short staple) 10%₹2,00,00,00,00/-2. Weaving &amp;amp;amp;amp; Knitting (warp and flat-bed) and texturing &amp;amp;amp;amp; twisting20%₹1,00,00,00,00/-3.Circular knitting 10%₹50,00,00,00/-4.Dyeing and processing of fibers, yarn, fabric and garment20%₹2,00,00,00,00/-5.Technical textile (Agrotech, Buildtech, Indutech, Geotech, and Medi-tech) and Non-woven fabric manufacturing20%₹2,50,00,00,00/-6.Technical textile (All categories except Agrotech, Buildtech, Indutech, Geotech, and Medi-tech)10%₹1,00,00,00,00/-7.Polymerization20%₹5,00,00,00,00/-8.Composite type of textile unit comprising spinning, weaving, processing (dyeing and processing of fibers, yarn, fabric and garments), technical textile etc. 10%₹5,00,00,00,00/-<br>","- Industries in the manufacturing and processing of textiles, apparel and technical textiles products.
  - The unit should have started production on or after 1st April 2022.
  - The units may be in the private sector, co-operative sector, joint sector as also companies/undertakings owned or managed by the State Government.
  - Shall not be applicable to the industrial units/enterprises.
  - The project should have been approved and sanctioned by a Central Financial Institution or Commercial Banks or State Financial Institutions.
  - The unit should hold an Registration Certificate, Date of Commencement Certificate and Eligibility Certificate issued by the Directorate of Textiles on satisfaction of arrangement.","[Online]
Registration Process:
Step 1: Visit the registration page of the Official Website.
Step 2: Fill in all the mandatory details in that window and click on “Register”.
Step 3: You will be registered successfully with a confirmation.
Application Process:
Step 1: Visit the user login page of the Official Website.
Step 2: Login with your registered Mail Id and Password.. 
Step 3: Fill up the eligible form.
Step 4: Check your eligibility in the portal.
Step 5: Fill up your CAF.
Step 6: Fill up Form A and Form C (if any).
Step 7: Download and Self sign Form A and Form C (if any).
Step 8: Upload signed copy of Form A and copy of Form C (if any).
Step 9: Submit Your Application.
Helpdesk: Directorate of Textile.","Auditor’s/ Chartered Accountant’s Certificate for utilization of funds.
A certificate from a Chartered Accountant as per Annexure - I.
A certificate in respect of fixed assets as per Annexure - II.
Any other documents as required.",https://textiles.wb.gov.in/assets/New_PUBLICATION_OF_WBTIS_2022.pdf,https://www.myscheme.gov.in/schemes/wbtisscis,,,all,[],,both,"[""West Bengal""]",False,False,2026-07-05 10:13:38.149+00
aith-atisis,"""Agricultural Income Tax Holiday"" under the ""Assam Tea Industries Special Incentives Scheme""","The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.",,Finance Department,Assam,"Banking,Financial Services and Insurance, Agriculture,Rural & Environment",Individual,"**Benefit Period:** 3 years of Agricultural Income Tax holiday.
**Applicable Financial Years:** 2022-23 to 2024-25.
**Condition:** Returns must be filed within the due date; if not filed on the due date, interest and penalty will be applicable.
<br>","- The applicant must be a tea plantation across all sizes.

- The applicant must be a tea manufacturing unit manufacturing Crush, Tear, Curl Tea, Orthodox Tea, or Speciality tea including Green tea, Oolong Tea, White tea, Yellow tea and Purple tea.
- The applicant must be located entirely in Assam.
- The applicant must not have any part of the plantation or manufacturing facility located outside the State of Assam.

<br>","[Online]
Registration Process
Step 1: Visit the dedicated portal of ""Assam Tea Industries Special Incentives"" Scheme. Click on the ""New User Registration"" option.
Step 2: In the registration form, fill in basic details including name, mobile number, and email address. Create a username and password following the portal's password policy. Verify your mobile number through one-time password verification. Complete Captcha Code verification. Submit the registration form.
Step 3: Check your registered email for the account activation link. Click on the activation link to activate the account. Log in to the portal using registered credentials.
Step 4: Upload all supporting documents of eligibility in the prescribed format. Fill in complete unit details, including location, type of tea production, and capacity. Submit the unit registration form. Wait for registration approval.
Application Process
Step 1: Log in to the portal using registered credentials. Navigate to the ""Apply for Benefits"" section. Select the scheme component that you intend to apply for.
Step 2: Fill in the prescribed application form with all mandatory fields. Upload all supporting documents as mentioned in the portal. Ensure file formats and file size restrictions are followed as per the portal guidelines. Review all entered information for accuracy.
Step 3: Upload documents in the specified format and size. Ensure all documents are clear and legible. Complete document verification checklist.
Step 4: Review the complete application before submission. Apply online.
*Note down the application reference number. Save a copy of the submitted application form.
*Applicants are strongly encouraged to save a copy of the submitted application, confirmation message, and application reference number for future reference and tracking purposes.
Application Status Tracking
Log in to the portal to check application status. Track application progress through different stages of verification. Receive Short Message Service alerts throughout the process, including registration, fund release, etc.
*For Technical Support, please write to atisis.assam@gmail.com.
Disbursement Process
The Finance Department releases the benefit directly to the beneficiary's bank account. Short Message Service alerts sent for funds disbursement. The beneficiary receives the Direct Benefit Transfer in a registered bank account.","Agricultural Income Tax Return Filing Documents.
Tea Estate Registration Certificate.
Common Documents for All Benefits.
Aadhaar Card.
Permanent Account Number Card.
Business Registration Certificate.
Bank Account Details.
Address Proof of Unit Location in Assam.",https://atisis.assam.gov.in/atsisver/pdfView.html?filename=Notification_ATISIS_2020.pdf,https://www.myscheme.gov.in/schemes/aith-atisis,,,all,[],,both,"[""Assam""]",False,False,2026-07-05 09:33:37.658+00
aipbo-faascdmf,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.",,"Fisheries and Fishermen Welfare Department, Puducherry",Puducherry,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance",Individual,"50% subsidy subject to a maximum of ₹ 20,000 per boat on annual insurance premium.
***The rate of subsidy/maximum limit may be revised by the Government from time to time.***","- The applicant should either belong to the fishermen community or be one of those professionally engaged in fishing/fish trade occupation on a full-time basis/prospective entrepreneurs.
- The applicant must have resided in the Union territory of Puducherry for a continuous period of not less than five years at the time of applying for extending subsidies/ grants. 
- The applicant must have been enrolled as a member of the Fishermen Co-operative Society and be above the age of 23 years and below 60 years.
- The applicant must not have been a recipient of Old Age Pension, issued by the department. 
- The applicant should not be employed in Government/ Government Undertakings/Fishermen Co-operative Society. 
- The applicant must not have any dues to be paid to the Department/Fishermen Co-operative Societies at the time of making the application. 
- The applicant should possess a registered mechanized boat. 
- The applicant should have insured the boat on an annual basis with the authorized insurance company.","[Offline]
Step 1: The interested applicant should visit the Office/ Sub-Office of the Department of Fisheries and Fishermen Welfare.
Step 1: The interested applicant should request the hard copy of the prescribed format of the application form from the concerned authority.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Passport Sized Photograph.
Aadhaar Card.
Election Photo Identity Card (for Proof of Identity).
Ration Card (for Proof of Address).
Birth Certificate (for Proof of Age).
Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society (in the case of fishermen).
Document attesting full-time engagement in fishing or fish trade occupation (in the case of Fish Traders).
Residence Certificate indicating a continuous period of not less than five years in the Union territory of Puducherry (from Deputy Tahsildar of the Area of Residence).
Enrollment certificate as a member of the Fishermen Co-operative Society.
Declaration of not being a recipient of Old Age Pension.
Declaration of not being employed in Government/Government Undertakings/Fishermen Co-operative Society.
Declaration certifying that the applicant has no outstanding dues to the Department/Fishermen Co-operative Societies at the time of application.
Proof of Possession of the Registered Mechanized Boat. 
Proof of Insurance of the Boat With an Authorized Insurance Company.",https://fisheries.py.gov.in/sites/default/files/subsidies-application007.pdf,https://www.myscheme.gov.in/schemes/aipbo-faascdmf,23.0,60.0,all,[],,both,"[""Puducherry""]",False,False,2026-07-05 09:38:16.928+00
beispgccpts,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme","""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",,"Agriculture Department, Puducherry",Puducherry,"Agriculture,Rural & Environment",Individual,"Back-ended investment subsidy to paddy growers @ ₹4,000/- per hectare.","- The applicant should be a resident/native of Puducherry.
- The applicant should be residing in the Yanam region.
- The applicant should be a Farmer.
- The applicant should possess land holdings.","[Offline]
Step 1: The interested applicant should visit (during office hours) one of the offices given below, and request the hard copy of the prescribed format of the application form from the concerned authority.
Agricultural Officers of the Uzhavar Udhaviyagam.
Office of the Deputy Director of Agriculture, Yanam.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form and the documents to the concerned authority.
Step 4: On receipt of the application, necessary entries will be made in the application receipt register and a unique number is assigned to the applicant for identifying each applicant which shall be used for all further references and also as acknowledgement for the receipt of the application.

[Online]
Step 1: Visit the Official Website of the e-District Portal of the Government of Puducherry.
Step 2: At the top right corner of the home page, click ""Login"". In the login screen, click ""Register a New Membership"".
Step 3: On the Registration Page, fill in all the mandatory fields: Username, Password, Confirm Password, Personal Details (Full Name, First Name, Email Address, Address, Current Address, Gender, Date of Birth, Mobile Number). Agree to the declaration. Fill in the Captcha Code, and click ""Signup"".
Step 4: Visit the Official Website of the e-District Portal of the Government of Puducherry.
Step 5: At the top right corner of the home page, click ""Login"". In the login screen, provide your Username and Password, fill in the Captcha Code, and click ""Sign In"".
Step 6: On the next screen, a list of schemes by the Government of Puducherry will be displayed Department-wise.
Step 7: Click on the scheme you wish to apply for. You will be taken to its online application form.
Step 8: In the application form, fill in all the mandatory fields (marked with a red asterisk) and upload all the mandatory documents (self-attest if required). 
Step 9: Tick the declaration stating ""I hereby declare that the above-mentioned details are true and correct as per the best of my Knowledge"". Submit the application and note the application number for tracking your application. The application number will also be received on your Registered Mobile Number / Registered Email ID.
*Track Your Application here
* Access the User Manual for Online Application here","Aadhaar Card.
Ration Card.
Applicant's Photo.
Farmer's Identity Card.
Bank Passbook.
FMB (Field Measurement Book).
Residence-cum-Nativity Certificate, issued by the competent authority.",https://agri.py.gov.in/sites/default/files/forms/backendpad.pdf,https://www.myscheme.gov.in/schemes/beispgccpts,,,all,[],,both,"[""Puducherry""]",False,False,2026-07-05 09:38:40.348+00
cmmfbdsf-faascdmf,"""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" is introduced by the Dept of Fisheries and Fishermen Welfare, Govt of Puducherry to increase marine fish production by extending grants for the conversion/modernization of mechanized boats for deep-sea fishing.",,"Fisheries and Fishermen Welfare Department, Puducherry",Puducherry,"Agriculture,Rural & Environment",Individual,"50% subsidy subject to a maximum of ₹ 2,50,000 per boat linked to bank finance.
> ***The rate of subsidy/maximum limit may be revised by the Government from time to time.**","- The applicant should either belong to the fishermen community or be one of those professionally engaged in fishing/fish trade occupation on a full-time basis/prospective entrepreneurs.
- The applicant must have resided in the Union territory of Puducherry for a continuous period of not less than five years at the time of applying for extending subsidies/ grants. 
- The applicant must have been enrolled as a member of the Fishermen Co-operative Society and be above the age of 23 years and below 60 years.
- The applicant must not have been a recipient of Old Age Pension, issued by the department. 
- The applicant should not be employed in Government/ Government Undertakings/Fishermen Co-operative Society. 
- The applicant must not have any dues to be paid to the Department/Fishermen Co-operative Societies at the time of making the application. 
- The mechanized boat should be registered. 
- The hull should be extended above 47 feet of overall length procured and fixed with a new hydraulic winch, steel ropes, global positioning system, echo sounder, inbuilt insulated ice-box, life savings appliances, etc.
- The applicant must have obtained a provisional loan sanction order from the bank.","[Offline]
Step 1: The interested applicant should visit the Office/ Sub-Office of the Department of Fisheries and Fishermen Welfare.
Step 1: The interested applicant should request the hard copy of the prescribed format of the application form from the concerned authority.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Passport Sized Photograph.
Aadhaar Card.
Election Photo Identity Card (for Proof of Identity).
Ration Card (for Proof of Address).
Birth Certificate (for Proof of Age).
Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society (in the case of fishermen).
Document attesting full-time engagement in fishing or fish trade occupation (in the case of Fish Traders).
Residence Certificate indicating a continuous period of not less than five years in the Union territory of Puducherry (from Deputy Tahsildar of the Area of Residence).
Enrollment certificate as a member of the Fishermen Co-operative Society.
Declaration of not being a recipient of Old Age Pension.
Declaration of not being employed in Government/Government Undertakings/Fishermen Co-operative Society.
Declaration certifying that the applicant has no outstanding dues to the Department/Fishermen Co-operative Societies at the time of application.
Proof of possession of a registered mechanized boat.
Specifications of the Hull.
Provisional Loan Sanction Order From the Bank.",https://fisheries.py.gov.in/sites/default/files/subsidies-application007.pdf,https://www.myscheme.gov.in/schemes/cmmfbdsf-faascdmf,23.0,60.0,all,[],,both,"[""Puducherry""]",False,False,2026-07-05 09:38:18.372+00
fgrmb-faascdmf,"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.",,"Fisheries and Fishermen Welfare Department, Puducherry",Puducherry,"Agriculture,Rural & Environment",Individual,"A financial grant for the reactivation of a registered wooden/steel mechanized boat will be extended at ₹ 10,000 per boat and ₹ 5,000 for a registered fiber-reinforced plastic mechanized boat.
****The grant is subject to revision as and when approved by the Government from time to time.***","- The applicant should either belong to the fishermen community or be one of those professionally engaged in fishing/fish trade occupation on a full-time basis/prospective entrepreneurs.
- The applicant must have resided in the Union territory of Puducherry for a continuous period of not less than five years at the time of applying for extending subsidies/ grants. 
- The applicant must have been enrolled as a member of the Fishermen Co-operative Society and be above the age of 23 years and below 60 years.
- The applicant must not have been a recipient of Old Age Pension, issued by the department. 
- The applicant should not be employed in Government/ Government Undertakings/Fishermen Co-operative Society. 
- The applicant must not have any dues to be paid to the Department/Fishermen Co-operative Societies at the time of making the application.
- The applicant should possess a registered mechanized boat. 
- The applicant should have carried out overhauling/ repairs to the engine/hull during the notified fishing ban period and should not have ventured fishing during the notified ban on fishing periods.","[Offline]
Step 1: The interested applicant should visit the Office/ Sub-Office of the Department of Fisheries and Fishermen Welfare.
Step 1: The interested applicant should request the hard copy of the prescribed format of the application form from the concerned authority.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Passport Sized Photograph.
Aadhaar Card.
Election Photo Identity Card (for Proof of Identity).
Ration Card (for Proof of Address).
Birth Certificate (for Proof of Age).
Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society (in the case of fishermen).
Document attesting full-time engagement in fishing or fish trade occupation (in the case of Fish Traders).
Residence Certificate indicating a continuous period of not less than five years in the Union territory of Puducherry (from Deputy Tahsildar of the Area of Residence).
Enrollment certificate as a member of the Fishermen Co-operative Society.
Declaration of not being a recipient of Old Age Pension.
Declaration of not being employed in Government/Government Undertakings/Fishermen Co-operative Society.
Declaration certifying that the applicant has no outstanding dues to the Department/Fishermen Co-operative Societies at the time of application.
Proof of possession of a registered mechanized boat. 
Proof of overhauling/ repairs to the engine/hull during the notified fishing ban period.
A declaration/affidavit that the applicant has not ventured for fishing during the notified ban on fishing periods.",https://fisheries.py.gov.in/sites/default/files/subsidies-application007.pdf,https://www.myscheme.gov.in/schemes/fgrmb-faascdmf,23.0,60.0,all,[],,both,"[""Puducherry""]",False,False,2026-07-05 09:46:23.16+00
wrflsncs-fbps,"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced with the objective of assisting fishermen families who are deprived of income during natural calamities and fishing ban periods.",,"Fisheries and Fishermen Welfare Department, Puducherry",Puducherry,"Agriculture,Rural & Environment, Social welfare & Empowerment","Individual, Family",100 kgs. of rice and a cash dole at ₹ 750/- per fishermen&#39;s family during the period of ban on fishing during the year.,"- The applicant should be an ordinarily resident of the Union territory of Puducherry.
- The applicant should be a fisherman.
- The applicant should belong to a group designated to be &quot;Below Poverty Line&quot;.
- *Beneficiary shall also be considered based on the decisions taken periodically by the Governing Body of the Pondicherry Fishermen Welfare and Distress Relief Society.
- The applicant should not be ordinarily residing in any foreign nation during the natural calamity, lean season, or ban on the fishing period for which relief assistance is issued.
- The beneficiary or any other members of the ration card should not be in regular service in the Government/Quasi Government/Government undertakings/Retired Government Pensioner.

*** The benefit under this scheme shall not be denied only on the ground that the head of the family or family member is a recipient of Old Age Pension (OAP);**
*** The benefit under this scheme shall not be restricted on the ground that the fisherman is in possession of mechanized or motorized or traditional fishing boats or is not in possession of the said fishing boats.**","[Offline]
Step 1: The interested applicant should visit the office of the concerned authority i.e. Pondicherry State Fishermen Co-operative Federation Limited, Puducherry/The Karaikal Fishermen Co-operative Marketing Union, Karaikal/The Assistant Director of Fisheries and Fishermen Welfare, Mahe/The Assistant Director of Fisheries and Fishermen Welfare, Yanam of the respective regions. 
Step 1: The interested applicant should request the hard copy of the prescribed format of the application form from the concerned authority.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhar Card
Copy of the First Page of the Passbook of the Bank Account.
Red Ration Card Issued by the Department of Civil Supplies and Consumer Affairs, Puducherry.
Identity Card Issued by the Director of Fisheries and Fishermen Welfare. 
Membership Certificate as Proof Obtained From Fishermen Co-operative Society of the Village Concerned in the Union Territory of Puducherry.",https://fisheries.py.gov.in/sites/default/files/ban-relief-application003.pdf,https://www.myscheme.gov.in/schemes/wrflsncs-fbps,,,all,[],,both,"[""Puducherry""]",False,True,2026-07-05 10:09:05.732+00
