,missing_count,missing_percentage
ministry,4012,85.49
eligibility_income_max,3914,83.4
eligibility_age_max,3908,83.27
eligibility_age_min,3640,77.56
department,293,6.24
beneficiary_type,64,1.36
documents_required,17,0.36
apply_url,9,0.19
description,4,0.09
application_process,4,0.09
benefits,4,0.09
category,4,0.09
eligibility_text,4,0.09
state,0,0.0
name,0,0.0
slug,0,0.0
official_url,0,0.0
eligibility_gender,0,0.0
eligibility_caste,0,0.0
eligibility_residence,0,0.0
eligibility_state,0,0.0
eligibility_disability,0,0.0
eligibility_bpl,0,0.0
scraped_at,0,0.0
